sub,rt,congruent,acc
280411,-0.8363633638039994,congruent,incorrect
280412,-1.0544014507006123,congruent,incorrect
280413,-0.7691902736958314,congruent,incorrect
280418,-0.6234657195360321,congruent,incorrect
280419,-0.6459977903170191,congruent,incorrect
280420,,congruent,incorrect
280422,-0.8556042523478642,congruent,incorrect
280428,-0.752394144165685,congruent,incorrect
280429,-1.2471451272274816,congruent,incorrect
280430,-0.9372718245989987,congruent,incorrect
280433,,congruent,incorrect
280435,-0.7173817887289582,congruent,incorrect
280436,-0.7503510034821497,congruent,incorrect
280437,-1.3747196076110633,congruent,incorrect
280438,-0.7016608043986767,congruent,incorrect
280440,-0.755558900546066,congruent,incorrect
280441,-0.8577304159411324,congruent,incorrect
280444,-0.8579243138420762,congruent,incorrect
280281,-0.8632923735214032,incongruent,incorrect
280282,-0.7958283133678371,incongruent,incorrect
280283,-0.6224235827834469,incongruent,incorrect
280284,-0.8020309049808882,incongruent,incorrect
280285,-0.8426625450294717,incongruent,incorrect
280286,-0.8640581914364278,incongruent,incorrect
280288,-0.8567968892987334,incongruent,incorrect
280289,-0.8821401310721013,incongruent,incorrect
280292,-0.8095475953347178,incongruent,incorrect
280297,-0.9703668593266471,incongruent,incorrect
280298,-0.9332883555664813,incongruent,incorrect
280299,-0.8683445688893673,incongruent,incorrect
280300,-0.795891451572626,incongruent,incorrect
280301,-0.7612461719586125,incongruent,incorrect
280302,-0.7834686829068965,incongruent,incorrect
280303,-0.8968875212752541,incongruent,incorrect
280304,-0.993033839030859,incongruent,incorrect
280305,-0.7893924897142898,incongruent,incorrect
280306,-0.8478789591326227,incongruent,incorrect
280307,-0.8816678627046542,incongruent,incorrect
280308,-0.96368975703286,incongruent,incorrect
280309,-0.9522212337143563,incongruent,incorrect
280310,-0.7749165416179086,incongruent,incorrect
280311,-0.9071714621064411,incongruent,incorrect
280312,-0.8406544583788634,incongruent,incorrect
280313,-0.8253259582111079,incongruent,incorrect
280314,-0.9132331278708012,incongruent,incorrect
280315,-0.9347790677367369,incongruent,incorrect
280316,-0.9458393086216852,incongruent,incorrect
280317,-0.8708149327370313,incongruent,incorrect
280318,-0.8769991945247633,incongruent,incorrect
280320,-1.0235507549998595,incongruent,incorrect
280321,-0.8205275546735906,incongruent,incorrect
280322,-0.850422849937684,incongruent,incorrect
280325,-0.8169977686886425,incongruent,incorrect
280326,-0.8898404630416287,incongruent,incorrect
280327,-0.9283103393317,incongruent,incorrect
280328,-0.869464962069597,incongruent,incorrect
280329,-0.948342911590909,incongruent,incorrect
280330,-0.8679527615687538,incongruent,incorrect
280332,-0.6798051752747379,incongruent,incorrect
280333,-0.7724191245738898,incongruent,incorrect
280334,-0.9165025749714375,incongruent,incorrect
280335,-0.8890800385631706,incongruent,incorrect
280336,-0.8780722801678117,incongruent,incorrect
280337,-0.9134901201985575,incongruent,incorrect
280339,-0.9653554010894873,incongruent,incorrect
280340,-0.79184781566128,incongruent,incorrect
280342,-0.8128363179530937,incongruent,incorrect
280343,-0.8723881261862574,incongruent,incorrect
280344,-0.7688463410153008,incongruent,incorrect
280345,-0.7655629897868899,incongruent,incorrect
280346,-0.9170453156682719,incongruent,incorrect
280347,-0.8147396632416144,incongruent,incorrect
280349,-0.952399370502542,incongruent,incorrect
280350,-0.7967588054939991,incongruent,incorrect
280351,-0.7105993380346582,incongruent,incorrect
280352,-0.8797653896140594,incongruent,incorrect
280353,-1.0171467540153727,incongruent,incorrect
280354,-0.7744312360809646,incongruent,incorrect
280355,-0.9493507979439808,incongruent,incorrect
280356,-0.7678143310253469,incongruent,incorrect
280357,-0.8546647814596368,incongruent,incorrect
280360,-0.9884321186748324,incongruent,incorrect
280361,-0.8275629812251627,incongruent,incorrect
280362,-0.7616449105013812,incongruent,incorrect
280363,-0.800310174328543,incongruent,incorrect
280364,-0.8518302405168734,incongruent,incorrect
280365,-0.891528123859916,incongruent,incorrect
280367,-0.7160979543274444,incongruent,incorrect
280368,-0.8431352800388785,incongruent,incorrect
280369,-0.6453651131782941,incongruent,incorrect
280370,-0.8265642031408963,incongruent,incorrect
280371,-0.9475006699965115,incongruent,incorrect
280372,-1.099759261325967,incongruent,incorrect
280373,-0.7966578921965368,incongruent,incorrect
280374,-0.9328528534477556,incongruent,incorrect
280375,-0.8797879658735989,incongruent,incorrect
280376,-0.9384109571047329,incongruent,incorrect
280377,-0.9161745532874639,incongruent,incorrect
280379,-0.8901490595520031,incongruent,incorrect
280380,-0.7493483331404795,incongruent,incorrect
280383,-0.8048555652225735,incongruent,incorrect
280384,-0.7955077235861386,incongruent,incorrect
280385,-0.8427489871264299,incongruent,incorrect
280386,-0.8708070153233307,incongruent,incorrect
280387,-0.8653194403406352,incongruent,incorrect
280389,-0.7972347720187385,incongruent,incorrect
280391,-0.8707730043104643,incongruent,incorrect
280392,-0.8596398158779549,incongruent,incorrect
280395,-0.7852530962548037,incongruent,incorrect
280396,-0.7472622045574077,incongruent,incorrect
280398,-0.8585377300655576,incongruent,incorrect
280403,-0.8990606167826976,incongruent,incorrect
280404,-0.847899535296006,incongruent,incorrect
280405,-0.936298684067771,incongruent,incorrect
280406,-0.701362522638617,incongruent,incorrect
280407,-0.8071864805024773,incongruent,incorrect
280408,-0.9521578609870488,incongruent,incorrect
280409,-0.9343517848362982,incongruent,incorrect
280411,-0.7632601753483331,incongruent,incorrect
280412,-0.9259873748405675,incongruent,incorrect
280413,-0.7306043185263826,incongruent,incorrect
280418,-0.7077785434474481,incongruent,incorrect
280419,-0.834678066076343,incongruent,incorrect
280420,-0.9751500531542516,incongruent,incorrect
280422,-0.7885769443913777,incongruent,incorrect
280428,-0.7898026418537465,incongruent,incorrect
280429,-0.8992786541351154,incongruent,incorrect
280430,-0.8833884316772045,incongruent,incorrect
280433,-0.8470163485040041,incongruent,incorrect
280435,-0.9777437301691536,incongruent,incorrect
280436,-0.8587533160564161,incongruent,incorrect
280437,-1.0777504952478956,incongruent,incorrect
280438,-0.7218209535506624,incongruent,incorrect
280440,-0.7707792748209805,incongruent,incorrect
280441,-0.805584067635484,incongruent,incorrect
280444,-0.7855970570300121,incongruent,incorrect
