sub,congruent,acc,fl_rt,similarity,jitter,cong_effect
280281,0.0,0.0,0.48874050000085845,3.0,0.250384200000326,0.16667332351025865
280281,0.0,1.0,0.4961252999964927,3.0,0.6334325000025274,0.16667332351025865
280281,1.0,1.0,0.40500109999993583,3.0,0.032993300002999604,0.16667332351025865
280281,1.0,1.0,0.4380450999997265,3.0,0.583917200001224,0.16667332351025865
280281,0.0,1.0,0.5042016000006697,1.0,0.30023110000183806,0.16667332351025865
280281,1.0,1.0,0.4482970999961253,1.0,0.3337000999999873,0.16667332351025865
280281,1.0,1.0,0.47791919999872334,2.0,0.2668688999983715,0.16667332351025865
280281,1.0,1.0,0.44659479999972973,2.0,0.5676421000025584,0.16667332351025865
280281,0.0,1.0,0.5504977999989933,1.0,0.4839523000009649,0.16667332351025865
280281,0.0,1.0,0.5869061000012152,2.0,0.6174936999991587,0.16667332351025865
280281,1.0,1.0,0.4991156999967643,1.0,0.5842444999980216,0.16667332351025865
280281,0.0,1.0,0.5089735999972618,3.0,0.050024600001279396,0.16667332351025865
280281,0.0,1.0,0.4727549999988696,3.0,0.7173557999994955,0.16667332351025865
280281,1.0,1.0,0.5244166999982554,2.0,0.48377199999958975,0.16667332351025865
280281,0.0,1.0,0.5676620000012917,2.0,0.35054159999708645,0.16667332351025865
280281,1.0,1.0,0.4627218999994511,3.0,0.13395080000191228,0.16667332351025865
280281,0.0,0.0,0.39350850000118953,2.0,0.05067860000076507,0.16667332351025865
280281,1.0,1.0,0.44504679999954533,3.0,0.3501726999966195,0.16667332351025865
280281,0.0,1.0,0.5950032000000647,3.0,0.016923600000154693,0.16667332351025865
280281,1.0,1.0,0.44812829999864334,1.0,0.18316560000312165,0.16667332351025865
280281,0.0,1.0,0.530234499998187,3.0,0.16652819999967505,0.16667332351025865
280281,1.0,1.0,0.44486069999766187,2.0,0.6343166999977257,0.16667332351025865
280281,1.0,1.0,0.4167721000012534,2.0,0.6842988999994759,0.16667332351025865
280281,1.0,1.0,0.4909096999981557,2.0,0.20037830000001122,0.16667332351025865
280281,1.0,1.0,0.4355016000008618,1.0,0.5838966999983768,0.16667332351025865
280281,0.0,1.0,0.5391936999985774,3.0,0.5340009999999893,0.16667332351025865
280281,1.0,1.0,0.5004733999994642,3.0,0.13377450000211866,0.16667332351025865
280281,0.0,1.0,0.463483699997596,3.0,0.2166889000000083,0.16667332351025865
280281,0.0,1.0,0.5323438000013994,3.0,0.18364350000024388,0.16667332351025865
280281,1.0,1.0,0.3558115000014368,1.0,0.15023249999990185,0.16667332351025865
280281,0.0,0.0,0.5345792999978585,2.0,0.1503526000014972,0.16667332351025865
280281,1.0,1.0,0.49555750000217813,3.0,0.1500182000015684,0.16667332351025865
280281,1.0,1.0,0.42208620000019437,2.0,0.33322599999905833,0.16667332351025865
280281,0.0,1.0,0.448566099996242,1.0,0.6846358999976019,0.16667332351025865
280281,0.0,1.0,0.6387286999997741,1.0,0.4504736999992929,0.16667332351025865
