sub,hr,congruent,rsi
280428,0.25,0,1
280429,0.5263157894736842,0,1
280430,0.2631578947368421,0,1
280433,0.5263157894736842,0,1
280435,0.2727272727272727,0,1
280436,0.52,0,1
280437,0.5,0,1
280438,0.3,0,1
280440,0.36363636363636365,0,1
280444,0.3125,0,1
280281,0.2631578947368421,1,2
280282,0.6666666666666666,1,2
280283,0.3888888888888889,1,2
280285,0.6666666666666666,1,2
280286,0.4,1,2
280288,0.47619047619047616,1,2
280289,0.4166666666666667,1,2
280292,0.5238095238095238,1,2
280297,0.5294117647058824,1,2
280298,0.48148148148148145,1,2
280299,0.2857142857142857,1,2
280300,0.7142857142857143,1,2
280301,0.5333333333333333,1,2
280302,0.3684210526315789,1,2
280303,0.25,1,2
280304,0.35294117647058826,1,2
280305,0.3684210526315789,1,2
280306,0.47368421052631576,1,2
280307,0.6538461538461539,1,2
280308,0.47619047619047616,1,2
280309,0.45,1,2
280310,0.3181818181818182,1,2
280311,0.2857142857142857,1,2
280312,0.35714285714285715,1,2
280313,0.4,1,2
280314,0.5625,1,2
280315,0.32,1,2
280316,0.2,1,2
280317,0.2631578947368421,1,2
280318,0.32,1,2
280320,0.4090909090909091,1,2
280321,0.6,1,2
280322,0.20833333333333334,1,2
280325,0.34615384615384615,1,2
280326,0.4782608695652174,1,2
280327,0.3333333333333333,1,2
280328,0.10526315789473684,1,2
280329,0.45,1,2
280330,0.21739130434782608,1,2
280332,0.5,1,2
280333,0.29411764705882354,1,2
280334,0.5263157894736842,1,2
280335,0.6086956521739131,1,2
280336,0.17647058823529413,1,2
280337,0.3,1,2
280339,0.30434782608695654,1,2
280340,0.5789473684210527,1,2
280342,0.36363636363636365,1,2
280343,0.5,1,2
280344,0.25,1,2
280345,0.5,1,2
280346,0.26666666666666666,1,2
280347,0.4444444444444444,1,2
280349,0.3,1,2
280350,0.5263157894736842,1,2
280351,0.5,1,2
280352,0.5,1,2
280353,0.5454545454545454,1,2
280354,0.5714285714285714,1,2
280355,0.5384615384615384,1,2
280356,0.5,1,2
280357,0.6086956521739131,1,2
280360,0.47619047619047616,1,2
280361,0.6111111111111112,1,2
280362,0.45454545454545453,1,2
280363,0.55,1,2
280364,0.5833333333333334,1,2
280365,0.5,1,2
280367,0.5625,1,2
280368,0.375,1,2
280369,0.3181818181818182,1,2
280370,0.5,1,2
280371,0.5454545454545454,1,2
280372,0.5263157894736842,1,2
280373,0.5625,1,2
280374,0.5,1,2
280375,0.3,1,2
280376,0.4090909090909091,1,2
280377,0.7222222222222222,1,2
280379,0.21052631578947367,1,2
280380,0.42105263157894735,1,2
280383,0.38095238095238093,1,2
280384,0.5,1,2
280385,0.5714285714285714,1,2
280386,0.4,1,2
280387,0.4,1,2
280389,0.2,1,2
280391,0.391304347826087,1,2
280392,0.6,1,2
280395,0.5,1,2
280396,0.3125,1,2
280398,0.5,1,2
280403,0.7647058823529411,1,2
280404,0.7368421052631579,1,2
280405,0.42857142857142855,1,2
280406,0.4,1,2
280408,0.43478260869565216,1,2
280409,0.5416666666666666,1,2
280411,0.23076923076923078,1,2
280412,0.42857142857142855,1,2
280413,0.5217391304347826,1,2
280418,0.7142857142857143,1,2
280419,0.5833333333333334,1,2
280420,0.6,1,2
280422,0.5263157894736842,1,2
280428,0.21739130434782608,1,2
280429,0.5,1,2
280430,0.38095238095238093,1,2
280433,0.5789473684210527,1,2
280435,0.3333333333333333,1,2
280436,0.29411764705882354,1,2
280437,0.3333333333333333,1,2
280438,0.5,1,2
280440,0.391304347826087,1,2
280444,0.25,1,2
280281,0.10526315789473684,0,2
280282,0.5714285714285714,0,2
280283,0.3076923076923077,0,2
280285,0.3,0,2
280286,0.6,0,2
280288,0.6666666666666666,0,2
280289,0.6842105263157895,0,2
280292,0.38461538461538464,0,2
280297,0.5,0,2
280298,0.5,0,2
280299,0.3333333333333333,0,2
280300,0.3333333333333333,0,2
280301,0.3,0,2
280302,0.3125,0,2
280303,0.0,0,2
280304,0.4090909090909091,0,2
280305,0.5,0,2
280306,0.6363636363636364,0,2
280307,0.5625,0,2
280308,0.3333333333333333,0,2
280309,0.3076923076923077,0,2
280310,0.3,0,2
280311,0.5714285714285714,0,2
280312,0.375,0,2
280313,0.3076923076923077,0,2
280314,0.2857142857142857,0,2
280315,0.35714285714285715,0,2
280316,0.375,0,2
280317,0.6153846153846154,0,2
280318,0.3333333333333333,0,2
280320,0.625,0,2
280321,0.4444444444444444,0,2
280322,0.25,0,2
280325,0.4166666666666667,0,2
280326,0.6666666666666666,0,2
280327,0.4,0,2
280328,0.35714285714285715,0,2
280329,0.6428571428571429,0,2
280330,0.4117647058823529,0,2
280332,0.5882352941176471,0,2
280333,0.35714285714285715,0,2
280334,0.55,0,2
280335,0.7058823529411765,0,2
280336,0.625,0,2
280337,0.5714285714285714,0,2
280339,0.6153846153846154,0,2
280340,0.25,0,2
280342,0.2631578947368421,0,2
280343,0.35,0,2
280344,0.4,0,2
280345,0.6428571428571429,0,2
280346,0.4166666666666667,0,2
280347,0.2777777777777778,0,2
280349,0.5625,0,2
280350,0.2727272727272727,0,2
280351,0.15384615384615385,0,2
280352,0.30434782608695654,0,2
